"","LotFrontage","Street","LandContour","LandSlope","Neighborhood","Condition1","Condition2","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","TotalBsmtSF","Heating","HeatingQC","CentralAir2","Electrical","1stFlrSF","2ndFlrSF","GrLivArea","BsmtHalfBath","FullBath","TotRmsAbvGrd","GarageYrBlt","GarageFinish","GarageCars","GarageArea","SaleCondition","SalePrice"
"356",105,"Pave","Lvl","Gtl","CollgCr","Norm","Norm","1Story",6,5,1995,1995,"Gable","Gd","Gd","PConc","Gd","Gd",1200,"GasA","Ex",1,"SBrkr",1200,0,1200,0,2,6,1995,"RFn",2,521,"Normal",177500
"357",NA,"Pave","Lvl","Gtl","Gilbert","Norm","Norm","1Story",6,6,1992,1992,"Gable","TA","TA","PConc","Gd","TA",1158,"GasA","Gd",1,"SBrkr",1167,0,1167,0,2,6,1992,"RFn",2,400,"Normal",173000
"358",44,"Pave","Lvl","Gtl","MeadowV","Norm","Norm","1Story",5,5,1976,1976,"Gable","TA","TA","PConc","Gd","TA",1142,"GasA","TA",1,"SBrkr",1142,0,1142,0,1,6,1976,"Fin",2,528,"Normal",134000
"359",92,"Pave","Lvl","Gtl","ClearCr","Norm","Norm","SLvl",5,4,1958,1958,"Hip","TA","TA","CBlock","TA","TA",1062,"GasA","Ex",1,"FuseF",1352,0,1352,1,1,6,1958,"Unf",1,288,"Abnorml",130000
"360",78,"Pave","Lvl","Gtl","NoRidge","Norm","Norm","2Story",8,5,1998,1998,"Gable","Gd","TA","PConc","Gd","TA",1086,"GasA","Ex",1,"SBrkr",1086,838,1924,0,2,7,1998,"RFn",2,592,"Normal",280000
"361",NA,"Pave","Lvl","Gtl","Mitchel","Norm","Norm","SFoyer",6,6,1978,1978,"Gable","TA","TA","CBlock","Gd","TA",888,"GasA","Ex",1,"SBrkr",912,0,912,0,1,5,1978,"RFn",2,470,"Normal",156000
"362",NA,"Pave","Lvl","Gtl","BrkSide","Norm","Norm","1.5Fin",5,5,1940,1982,"Gable","TA","TA","CBlock","TA","TA",883,"GasA","Gd",1,"SBrkr",988,517,1505,0,1,8,1940,"Unf",1,240,"Normal",145000
"363",64,"Pave","Lvl","Gtl","Edwards","Norm","Norm","SFoyer",7,5,2003,2003,"Gable","Gd","TA","Slab",NA,NA,0,"GasA","Ex",1,"SBrkr",495,1427,1922,0,3,7,2003,"RFn",2,672,"Normal",198500
"364",21,"Pave","Lvl","Gtl","BrDale","Norm","Norm","2Story",6,8,1972,2007,"Gable","TA","TA","CBlock","TA","TA",483,"GasA","Gd",1,"SBrkr",483,504,987,0,1,5,1972,"Unf",1,264,"Normal",118000
"365",NA,"Pave","Lvl","Gtl","NWAmes","Norm","Norm","2Story",6,5,1976,1976,"Gable","TA","TA","PConc","Gd","TA",796,"GasA","TA",1,"SBrkr",790,784,1574,0,2,6,1976,"Fin",2,566,"Normal",190000
"366",59,"Pave","Lvl","Gtl","IDOTRR","Norm","Norm","2Story",5,7,1920,1997,"Hip","TA","Gd","CBlock","TA","Fa",672,"GasA","Gd",1,"FuseA",672,672,1344,0,1,6,1964,"Unf",1,468,"Normal",147000
"367",NA,"Pave","Lvl","Gtl","NAmes","Norm","Norm","1Story",6,5,1963,1963,"Gable","TA","TA","CBlock","Gd","TA",1394,"GasA","Gd",1,"SBrkr",1394,0,1394,0,1,6,1963,"RFn",2,514,"Normal",159000
"368",101,"Pave","Lvl","Gtl","NAmes","Norm","Norm","SLvl",6,5,1962,1962,"Gable","TA","TA","CBlock","Gd","TA",1099,"GasA","Gd",1,"SBrkr",1431,0,1431,1,1,6,1962,"RFn",1,296,"Normal",165000
"369",78,"Pave","Lvl","Gtl","NAmes","Norm","Norm","1Story",5,6,1954,1954,"Gable","TA","TA","PConc","TA","TA",1268,"GasA","Gd",1,"SBrkr",1268,0,1268,0,1,7,1954,"Fin",1,244,"Normal",132000
"370",NA,"Pave","Lvl","Gtl","NAmes","Norm","Norm","1Story",5,7,1959,2006,"Gable","TA","Gd","CBlock","TA","TA",1063,"GasA","Ex",1,"SBrkr",1287,0,1287,0,1,7,1997,"Fin",2,576,"Normal",162000
"371",NA,"Pave","Lvl","Gtl","Gilbert","Norm","Norm","2Story",6,5,2000,2000,"Gable","TA","TA","PConc","Gd","TA",953,"GasA","Ex",1,"SBrkr",953,711,1664,0,2,7,2000,"RFn",2,460,"Normal",172400
"372",80,"Pave","Lvl","Gtl","ClearCr","Feedr","Norm","1.5Fin",4,4,1959,1959,"Gable","TA","TA","CBlock",NA,NA,0,"GasA","TA",1,"SBrkr",1120,468,1588,0,2,7,1991,"Fin",2,680,"Normal",134432
"373",50,"Pave","Lvl","Gtl","SawyerW","Norm","Norm","1Story",6,5,1984,1984,"Gable","TA","TA","CBlock","Gd","TA",744,"GasA","TA",1,"SBrkr",752,0,752,0,1,4,1984,"Unf",1,264,"Normal",125000
"374",79,"Pave","Lvl","Gtl","NAmes","Norm","Norm","1Story",5,6,1953,1953,"Gable","TA","TA","PConc","TA","TA",608,"GasA","TA",1,"SBrkr",1319,0,1319,0,1,5,1953,"Unf",1,270,"Normal",123000
"375",65,"Pave","Lvl","Gtl","CollgCr","Norm","Norm","2Story",7,5,2003,2004,"Gable","Gd","TA","PConc","Gd","TA",847,"GasA","Ex",1,"SBrkr",847,1081,1928,0,2,8,2003,"Fin",2,434,"Normal",219500
"376",NA,"Pave","Low","Sev","Edwards","Norm","Norm","1Story",1,1,1922,1950,"Gable","Fa","Fa","BrkTil","Fa","Po",683,"GasA","Gd",0,"FuseA",904,0,904,0,0,4,NA,NA,0,0,"Normal",61000
"377",57,"Pave","Lvl","Gtl","CollgCr","Norm","Norm","SFoyer",5,5,1996,1996,"Gable","Gd","TA","PConc","Gd","TA",870,"GasA","Ex",1,"SBrkr",914,0,914,0,1,5,1998,"Unf",2,576,"Normal",148000
"378",102,"Pave","Lvl","Gtl","Somerst","Norm","Norm","2Story",8,5,2004,2005,"Gable","Gd","TA","PConc","Gd","TA",1580,"GasA","Ex",1,"SBrkr",1580,886,2466,0,3,8,2004,"RFn",2,610,"Normal",340000
"379",88,"Pave","Lvl","Gtl","StoneBr","Norm","Norm","1Story",9,2,2010,2010,"Hip","Gd","TA","PConc","Ex","TA",1856,"GasA","Ex",1,"SBrkr",1856,0,1856,0,1,8,2010,"Fin",3,834,"Partial",394432
"380",60,"Pave","Lvl","Gtl","Gilbert","RRAn","Norm","2Story",6,5,2000,2000,"Gable","TA","TA","PConc","Gd","TA",982,"GasA","Ex",1,"SBrkr",1007,793,1800,0,2,7,2000,"Fin",2,463,"Normal",179000
"381",50,"Pave","Lvl","Gtl","SWISU","Norm","Norm","1.5Fin",5,6,1924,1950,"Gable","TA","TA","BrkTil","TA","TA",1026,"GasA","TA",1,"SBrkr",1026,665,1691,0,2,6,1924,"Unf",1,308,"Normal",127000
"382",60,"Pave","Lvl","Gtl","Somerst","Norm","Norm","1Story",7,5,2006,2006,"Gable","Gd","TA","PConc","Gd","Gd",1293,"GasA","Ex",1,"SBrkr",1301,0,1301,0,2,5,2006,"RFn",2,572,"Partial",187750
"383",79,"Pave","Lvl","Gtl","CollgCr","Norm","Norm","2Story",7,5,2006,2006,"Gable","Gd","TA","PConc","Gd","TA",939,"GasA","Ex",1,"SBrkr",939,858,1797,0,2,8,2006,"RFn",2,639,"Normal",213500
"384",60,"Pave","Lvl","Gtl","SawyerW","Norm","Norm","1.5Unf",6,3,1928,1950,"Gable","TA","TA","BrkTil","Fa","Fa",784,"GasA","TA",0,"FuseA",784,0,784,0,1,5,1950,"Unf",2,360,"Normal",76000
"385",NA,"Pave","Low","Mod","ClearCr","Feedr","Norm","2Story",6,5,1992,1992,"Gable","Gd","TA","PConc","Gd","TA",1580,"GasA","Ex",1,"SBrkr",1079,874,1953,0,2,9,1992,"Fin",2,501,"Normal",240000
"386",43,"Pave","Lvl","Gtl","Blmngtn","Norm","Norm","1Story",8,5,2004,2005,"Gable","Gd","TA","PConc","Gd","TA",1256,"GasA","Ex",1,"SBrkr",1269,0,1269,0,2,6,2004,"Fin",2,430,"Normal",192000
"387",58,"Pave","Lvl","Gtl","Edwards","Feedr","Norm","1.5Fin",5,3,1910,1996,"Gambrel","TA","Fa","PConc","TA","TA",658,"GasA","TA",1,"SBrkr",658,526,1184,0,1,8,NA,NA,0,0,"AdjLand",81000
"388",72,"Pave","Lvl","Gtl","Edwards","Norm","Norm","SLvl",6,6,1976,1976,"Hip","TA","TA","CBlock","TA","TA",1041,"GasA","Ex",1,"SBrkr",1125,0,1125,0,1,6,1977,"Unf",1,352,"Abnorml",125000
"389",93,"Pave","Lvl","Gtl","CollgCr","Norm","Norm","1Story",7,5,1999,2000,"Gable","Gd","TA","PConc","Gd","TA",1468,"GasA","Ex",1,"SBrkr",1479,0,1479,0,2,6,1999,"RFn",2,577,"Normal",191000
"390",96,"Pave","Lvl","Gtl","NridgHt","Norm","Norm","2Story",10,5,2007,2008,"Gable","Ex","TA","PConc","Ex","TA",1682,"GasA","Ex",1,"SBrkr",1742,590,2332,0,2,9,2008,"Fin",3,846,"Partial",426000
"391",50,"Pave","Lvl","Gtl","Edwards","Norm","Norm","1.5Fin",5,8,1900,1950,"Gable","TA","TA","BrkTil","TA","Gd",861,"GasA","Ex",1,"SBrkr",961,406,1367,0,1,7,1978,"Unf",1,384,"Normal",119000
"392",71,"Pave","Lvl","Gtl","Mitchel","Norm","Norm","2Story",6,5,2001,2002,"Gable","TA","TA","PConc","Ex","TA",804,"GasA","Ex",1,"SBrkr",804,1157,1961,0,2,7,2001,"Fin",2,560,"Normal",215000
"393",NA,"Pave","Lvl","Gtl","NAmes","Norm","Norm","1Story",5,7,1959,1959,"Gable","TA","TA","Slab",NA,NA,0,"GasA","TA",1,"SBrkr",882,0,882,0,1,5,1959,"RFn",1,294,"Normal",106500
"394",NA,"Pave","Lvl","Gtl","BrkSide","Feedr","Norm","1Story",4,5,1941,1950,"Gable","TA","TA","CBlock","TA","TA",788,"GasA","TA",1,"FuseA",788,0,788,0,1,4,NA,NA,0,0,"Abnorml",1e+05
"395",60,"Pave","Lvl","Gtl","OldTown","Norm","Norm","1.5Fin",5,6,1940,1950,"Gable","TA","TA","CBlock","TA","TA",735,"GasA","Gd",1,"FuseA",735,299,1034,0,1,5,1940,"Unf",1,240,"Normal",109000
"396",68,"Pave","Lvl","Gtl","Edwards","Norm","Norm","1Story",5,6,1956,1956,"Gable","TA","TA","CBlock","TA","TA",1144,"GasA","TA",1,"SBrkr",1144,0,1144,0,1,6,1956,"Unf",1,596,"Normal",129000
"397",60,"Pave","Low","Gtl","CollgCr","Norm","Norm","1Story",5,5,1972,1972,"Hip","TA","TA","CBlock","TA","TA",894,"GasA","TA",1,"SBrkr",894,0,894,0,1,6,1985,"RFn",2,600,"Normal",123000
"398",69,"Pave","Lvl","Gtl","NAmes","PosN","Norm","2Story",5,5,1962,1962,"Gable","TA","TA","CBlock","TA","TA",864,"GasA","TA",1,"SBrkr",876,936,1812,0,2,8,1962,"RFn",1,264,"Normal",169500
"399",60,"Pave","Lvl","Gtl","IDOTRR","Norm","Norm","1Story",5,2,1920,1950,"Gable","TA","Fa","BrkTil","Fa","Po",961,"GasA","Gd",1,"Mix",1077,0,1077,0,1,6,1920,"Unf",1,338,"Abnorml",67000
"400",65,"Pave","Lvl","Gtl","Somerst","Norm","Norm","2Story",7,5,2006,2007,"Gable","Gd","TA","PConc","Gd","TA",1092,"GasA","Ex",1,"SBrkr",1112,438,1550,0,2,7,2007,"Fin",2,438,"Normal",241000
"401",38,"Pave","Lvl","Gtl","Veenker","Norm","Norm","1Story",8,5,1996,1996,"Gable","Gd","TA","PConc","Gd","TA",1260,"GasA","Ex",1,"SBrkr",1288,0,1288,0,1,4,1996,"Fin",2,500,"Normal",245500
"402",65,"Pave","Lvl","Gtl","CollgCr","Norm","Norm","1Story",7,5,2005,2005,"Gable","Gd","TA","PConc","Gd","TA",1310,"GasA","Ex",1,"SBrkr",1310,0,1310,0,2,6,2005,"Fin",2,400,"Partial",164990
"403",60,"Pave","Lvl","Gtl","Sawyer","Norm","Norm","1Story",5,8,1940,1997,"Gable","TA","TA","PConc","TA","TA",672,"GasA","Ex",1,"SBrkr",672,0,672,0,1,4,1940,"Unf",1,240,"Normal",108000
"404",93,"Pave","Lvl","Gtl","NoRidge","Norm","Norm","2Story",8,5,1998,1998,"Hip","Gd","TA","PConc","Gd","TA",1141,"GasA","Gd",1,"SBrkr",1165,1098,2263,0,2,10,1998,"Fin",2,420,"Abnorml",258000
"405",NA,"Pave","Lvl","Gtl","Gilbert","Norm","Norm","2Story",6,5,1995,1996,"Gable","TA","TA","PConc","Gd","TA",806,"GasA","Gd",1,"SBrkr",806,766,1572,0,2,7,1995,"Fin",2,373,"Normal",168000
"406",NA,"Pave","Lvl","Gtl","Sawyer","Feedr","Norm","1Story",4,4,1976,1993,"Gable","TA","TA","CBlock","TA","TA",1281,"GasA","Ex",1,"SBrkr",1620,0,1620,0,2,8,1993,"Unf",2,490,"Normal",150000
"407",51,"Pave","Lvl","Gtl","SWISU","Norm","Norm","1.5Fin",6,5,1936,1950,"Gable","TA","TA","BrkTil","TA","TA",1064,"GasA","Ex",1,"FuseA",1166,0,1639,0,1,6,1936,"Unf",1,240,"Normal",115000
"408",63,"Pave","Lvl","Gtl","Crawfor","Norm","Norm","2Story",6,7,1915,1976,"Gable","TA","TA","BrkTil","Gd","TA",840,"GasA","Ex",1,"SBrkr",840,840,1680,0,2,8,1960,"Unf",1,308,"Normal",177000
"409",109,"Pave","Lvl","Gtl","NridgHt","Norm","Norm","2Story",7,5,2006,2006,"Gable","Gd","TA","PConc","Ex","Gd",1063,"GasA","Ex",1,"SBrkr",1071,1101,2172,0,2,9,2006,"RFn",3,947,"Partial",280000
"410",85,"Pave","Lvl","Gtl","Somerst","Norm","Norm","2Story",8,5,2007,2008,"Gable","Gd","TA","PConc","Ex","TA",1034,"GasA","Ex",1,"SBrkr",1050,1028,2078,0,2,8,2008,"Fin",3,836,"Partial",339750
"411",68,"Pave","Lvl","Gtl","Edwards","Norm","Norm","1Story",5,3,1958,1958,"Gable","TA","Fa","CBlock","TA","Fa",1276,"GasA","TA",1,"FuseA",1276,0,1276,0,1,5,1958,"Unf",1,350,"Abnorml",60000
"412",100,"Pave","Bnk","Gtl","Gilbert","Norm","Norm","1Story",5,5,1955,1955,"Hip","TA","TA","CBlock","TA","TA",1056,"GasA","TA",0,"SBrkr",1056,0,1056,0,1,5,1955,"Fin",2,572,"Normal",145000
"413",NA,"Pave","Lvl","Gtl","Somerst","Norm","Norm","1Story",7,5,2009,2009,"Gable","Ex","TA","PConc","Ex","TA",1470,"GasA","Ex",1,"SBrkr",1478,0,1478,0,2,7,2009,"Fin",2,484,"Partial",222000
"414",56,"Pave","Lvl","Gtl","OldTown","Artery","Norm","1Story",5,6,1927,1950,"Gable","TA","TA","CBlock","TA","TA",1008,"GasA","Gd",1,"FuseA",1028,0,1028,0,1,5,1927,"Unf",2,360,"Normal",115000
"415",59,"Pave","Lvl","Gtl","SawyerW","Norm","Norm","2Story",7,5,1993,1993,"Gable","Gd","TA","PConc","Gd","TA",1080,"GasA","Ex",1,"SBrkr",1080,1017,2097,1,2,9,1993,"Unf",3,678,"Normal",228000
"416",73,"Pave","Lvl","Gtl","Gilbert","Norm","Norm","1Story",7,5,2007,2007,"Gable","Gd","TA","PConc","Gd","TA",1340,"GasA","Ex",1,"SBrkr",1340,0,1340,0,2,6,2007,"Fin",2,396,"Partial",181134
"417",74,"Pave","Lvl","Gtl","Sawyer","Norm","Norm","2Story",6,7,1978,1978,"Hip","TA","TA","CBlock","TA","TA",672,"GasA","TA",1,"SBrkr",672,728,1400,0,1,6,1978,"Fin",2,440,"Normal",149500
"418",86,"Pave","Lvl","Gtl","Crawfor","Feedr","Norm","2Story",6,6,1918,1950,"Hip","TA","TA","BrkTil","Gd","TA",1370,"GasW","TA",0,"FuseA",1370,1254,2624,0,2,10,1918,"Unf",3,864,"Normal",239000
"419",60,"Pave","Lvl","Gtl","Edwards","Norm","Norm","1.5Fin",5,6,1940,1950,"Gable","TA","TA","BrkTil","TA","TA",756,"GasA","Fa",0,"FuseF",756,378,1134,0,1,7,1940,"Unf",1,240,"AdjLand",126000
"420",65,"Pave","Lvl","Gtl","NAmes","Norm","Norm","1Story",5,6,1968,1968,"Gable","TA","TA","CBlock","TA","TA",1056,"GasA","Ex",1,"SBrkr",1056,0,1056,0,1,6,1968,"Unf",1,304,"Normal",142000
"421",78,"Pave","Lvl","Gtl","Mitchel","Norm","Norm","SFoyer",7,5,1997,1998,"Gable","TA","Gd","PConc","Gd","Gd",1344,"GasA","Ex",1,"SBrkr",1344,0,1344,0,2,8,1997,"Fin",4,784,"Alloca",206300
"422",NA,"Pave","Lvl","Gtl","NWAmes","Norm","Norm","1Story",6,7,1977,2000,"Gable","Gd","TA","CBlock","Gd","TA",1602,"GasA","Gd",1,"SBrkr",1602,0,1602,1,2,8,1977,"Fin",2,529,"Normal",215000
"423",100,"Pave","HLS","Mod","Mitchel","Artery","Norm","1Story",5,5,1954,1954,"Hip","TA","TA","CBlock","TA","TA",988,"GasA","Ex",1,"FuseA",988,0,988,0,1,4,1954,"RFn",2,520,"Normal",113000
"424",80,"Pave","Lvl","Gtl","NoRidge","Norm","Norm","2Story",8,5,1998,1998,"Gable","Gd","TA","PConc","Gd","TA",1470,"GasA","Gd",1,"SBrkr",1470,1160,2630,0,2,8,1998,"Fin",3,696,"Normal",315000
"425",72,"Pave","Lvl","Gtl","NAmes","Norm","Norm","1Story",6,5,1956,1956,"Gable","TA","TA","CBlock","Gd","TA",1196,"GasA","Gd",1,"FuseA",1196,0,1196,0,1,6,1956,"RFn",1,297,"Normal",139000
"426",60,"Pave","HLS","Gtl","OldTown","Norm","Norm","2Story",7,8,1946,1992,"Gable","TA","Gd","CBlock","TA","TA",651,"GasA","Gd",1,"SBrkr",707,682,1389,0,1,6,1947,"Unf",1,240,"Normal",135000
"427",NA,"Pave","Low","Mod","SawyerW","Norm","Norm","SLvl",7,5,1989,1989,"Gable","Gd","TA","PConc","Gd","TA",1518,"GasA","Gd",1,"SBrkr",1644,0,1644,1,2,5,1989,"Fin",2,569,"Normal",275000
"428",77,"Pave","Lvl","Gtl","NAmes","Norm","Norm","1Story",4,6,1957,1957,"Hip","TA","TA","CBlock","TA","TA",907,"GasA","Ex",1,"SBrkr",907,0,907,0,1,5,1964,"Unf",1,352,"Normal",109008
"429",64,"Pave","Lvl","Gtl","CollgCr","Norm","Norm","1Story",7,5,2007,2007,"Gable","Gd","TA","PConc","Gd","TA",1208,"GasA","Ex",1,"SBrkr",1208,0,1208,0,2,6,2007,"RFn",2,628,"Partial",195400
"430",130,"Pave","Lvl","Gtl","Timber","Norm","Norm","1Story",6,5,1988,1988,"Gable","TA","TA","CBlock","Gd","TA",1392,"GasA","TA",1,"SBrkr",1412,0,1412,0,2,6,1988,"Unf",2,576,"Normal",175000
"431",21,"Pave","Lvl","Gtl","BrDale","Norm","Norm","2Story",6,5,1971,1971,"Gable","TA","TA","CBlock","TA","TA",483,"GasA","TA",1,"SBrkr",483,504,987,0,1,4,1971,"Unf",1,264,"Abnorml",85400
"432",60,"Pave","Bnk","Gtl","OldTown","Feedr","Norm","1.5Fin",6,7,1920,1998,"Gable","TA","TA","BrkTil","TA","TA",901,"GasA","Gd",1,"SBrkr",1088,110,1198,0,1,7,NA,NA,0,0,"Abnorml",79900
"433",24,"Pave","Lvl","Gtl","BrDale","Norm","Norm","2Story",5,5,1971,1971,"Gable","TA","TA","CBlock","TA","TA",765,"GasA","Ex",1,"SBrkr",765,600,1365,0,1,6,1971,"Unf",2,440,"Normal",122500
"434",100,"Pave","Lvl","Gtl","Gilbert","Norm","Norm","2Story",6,5,1997,1998,"Gable","TA","TA","PConc","Gd","TA",926,"GasA","Ex",1,"SBrkr",926,678,1604,0,2,7,1997,"Fin",2,470,"Normal",181000
"435",21,"Pave","Lvl","Gtl","MeadowV","Norm","Norm","SFoyer",4,7,1972,1972,"Gable","TA","Gd","CBlock","Gd","TA",630,"GasA","Gd",1,"SBrkr",630,0,630,0,1,3,NA,NA,0,0,"Normal",81000
"436",43,"Pave","Lvl","Gtl","CollgCr","PosN","Norm","2Story",7,6,1996,1996,"Gable","Gd","TA","PConc","Gd","TA",799,"GasA","Ex",1,"SBrkr",827,834,1661,0,2,6,1996,"RFn",2,550,"Normal",212000
"437",40,"Pave","Lvl","Gtl","OldTown","Norm","Norm","1.5Fin",6,8,1920,1950,"Gable","TA","TA","BrkTil","Fa","TA",648,"GasA","TA",1,"FuseA",734,384,1118,0,1,6,1990,"Unf",2,440,"Normal",116000
"438",50,"Pave","Lvl","Gtl","BrkSide","Norm","Norm","1.5Unf",6,7,1926,2004,"Gable","Gd","TA","PConc","TA","TA",884,"GasA","Gd",1,"SBrkr",904,0,904,0,1,4,1926,"Unf",1,180,"Normal",119000
"439",40,"Pave","Lvl","Gtl","Crawfor","Norm","Norm","1Story",5,6,1913,2002,"Gable","TA","TA","PConc","TA","TA",440,"GasA","TA",0,"SBrkr",694,0,694,0,1,4,1990,"Unf",1,352,"Normal",90350
"440",67,"Pave","Lvl","Gtl","Edwards","Norm","Norm","1.5Fin",6,8,1920,2000,"Gable","TA","TA","BrkTil","TA","Fa",684,"GasA","Gd",1,"SBrkr",684,512,1196,0,1,7,2005,"Unf",2,528,"Normal",110000
"441",105,"Pave","Lvl","Gtl","NridgHt","Norm","Norm","1Story",10,5,2008,2008,"Hip","Ex","TA","PConc","Ex","TA",3094,"GasA","Ex",1,"SBrkr",2402,0,2402,0,2,10,2008,"Fin",3,672,"Normal",555000
"442",92,"Pave","Lvl","Gtl","Edwards","Norm","Norm","1Story",4,4,1955,1955,"Gable","TA","TA","CBlock","TA","TA",1440,"GasA","TA",0,"FuseF",1440,0,1440,0,2,8,NA,NA,0,0,"Normal",118000
"443",52,"Pave","Lvl","Gtl","BrkSide","Norm","Norm","1.5Fin",5,7,1930,1992,"Gable","TA","TA","PConc","TA","TA",1078,"GasA","TA",1,"SBrkr",1128,445,1573,0,2,8,1930,"Unf",2,360,"Normal",162900
"444",53,"Pave","Lvl","Gtl","Blmngtn","Norm","Norm","1Story",7,5,2006,2007,"Gable","Gd","TA","PConc","Ex","TA",1258,"GasA","Ex",1,"SBrkr",1258,0,1258,0,2,6,2007,"Fin",3,648,"Partial",172500
"445",70,"Pave","Lvl","Gtl","CollgCr","Norm","Norm","2Story",7,5,1994,1995,"Gable","Gd","Gd","PConc","Gd","TA",915,"GasA","Ex",1,"SBrkr",933,975,1908,0,2,8,1994,"Unf",2,493,"Normal",210000
"446",73,"Pave","Lvl","Gtl","Edwards","Norm","Norm","1Story",6,5,1956,1956,"Hip","TA","TA","CBlock","TA","TA",1436,"GasA","Fa",1,"SBrkr",1689,0,1689,0,1,7,1956,"Unf",2,480,"Normal",127500
"447",137,"Pave","Lvl","Gtl","NAmes","PosA","Norm","1Story",6,6,1966,2002,"Gable","Gd","TA","CBlock","TA","TA",1517,"GasA","Ex",1,"SBrkr",1888,0,1888,0,2,6,1966,"Fin",2,578,"Normal",190000
"448",NA,"Pave","Lvl","Gtl","Gilbert","Norm","Norm","2Story",7,5,1998,1999,"Gable","Gd","TA","PConc","Gd","TA",930,"GasA","Gd",1,"SBrkr",956,930,1886,0,2,10,1998,"Fin",2,431,"Normal",199900
"449",50,"Pave","Bnk","Gtl","IDOTRR","Norm","Norm","1.5Fin",6,6,1937,1950,"Gable","TA","TA","BrkTil","TA","TA",780,"GasA","TA",1,"SBrkr",780,596,1376,0,2,7,1937,"Unf",1,198,"Normal",119500
"450",50,"Pave","Lvl","Gtl","OldTown","Norm","Norm","1.5Fin",3,7,1948,2002,"Gable","TA","Gd","CBlock","TA","TA",649,"GasA","Ex",1,"SBrkr",679,504,1183,0,1,6,1981,"Unf",1,308,"Normal",120000
"451",70,"Pave","Lvl","Gtl","OldTown","Norm","Norm","1Story",6,8,1930,2005,"Hip","TA","TA","BrkTil","TA","TA",813,"GasA","Ex",1,"FuseA",813,0,813,0,1,5,1932,"Unf",1,270,"Normal",110000
"452",62,"Pave","Low","Mod","ClearCr","Norm","Norm","1Story",7,5,1975,1975,"Gable","TA","TA","CBlock","Gd","TA",1533,"GasA","TA",1,"SBrkr",1533,0,1533,0,2,5,1975,"Unf",2,576,"Normal",280000
"453",NA,"Pave","Lvl","Gtl","Timber","Norm","Norm","2Story",6,5,1996,1997,"Hip","Gd","TA","PConc","Ex","TA",872,"GasA","Ex",1,"SBrkr",888,868,1756,0,2,7,1996,"Fin",2,422,"Normal",204000
"454",75,"Pave","Lvl","Gtl","Somerst","Norm","Norm","2Story",8,5,2008,2008,"Gable","Gd","TA","PConc","Gd","TA",768,"GasA","Ex",1,"SBrkr",786,804,1590,0,2,6,2008,"RFn",2,676,"Normal",210000
"455",63,"Pave","Lvl","Gtl","Mitchel","Norm","Norm","1Story",5,5,1976,1976,"Gable","TA","TA","CBlock","TA","TA",1728,"GasA","TA",1,"SBrkr",1728,0,1728,0,2,8,1976,"Unf",2,560,"Family",188000
"456",80,"Pave","Lvl","Gtl","NWAmes","Norm","Norm","1Story",7,6,1973,1973,"Hip","TA","TA","CBlock","TA","TA",1242,"GasA","Fa",1,"SBrkr",1242,0,1242,0,1,6,1973,"Unf",2,528,"Normal",175500
"457",34,"Pave","Lvl","Gtl","OldTown","Norm","Norm","2Story",5,5,1916,1950,"Gable","TA","TA","BrkTil","TA","TA",624,"GasA","Fa",0,"SBrkr",624,720,1344,0,1,7,1916,"Unf",3,513,"Abnorml",98000
"458",NA,"Pave","Low","Mod","ClearCr","Norm","Norm","1Story",4,6,1954,1994,"Flat","TA","TA","CBlock","Gd","TA",1364,"GasA","Ex",1,"SBrkr",1663,0,1663,0,1,6,1954,"Fin",2,529,"Normal",256000
"459",NA,"Pave","Lvl","Gtl","OldTown","Norm","Norm","2Story",8,7,1925,1996,"Hip","TA","Gd","PConc","TA","TA",588,"GasA","Fa",1,"SBrkr",833,833,1666,0,1,7,1925,"Unf",1,228,"Normal",161000
"460",NA,"Pave","Bnk","Gtl","BrkSide","Norm","Norm","1.5Fin",5,4,1950,1950,"Gable","TA","TA","CBlock","TA","TA",709,"GasA","TA",1,"SBrkr",979,224,1203,0,1,5,1950,"Unf",1,352,"Normal",110000
"461",75,"Pave","Lvl","Gtl","Somerst","RRAn","Norm","2Story",8,5,2009,2009,"Gable","Gd","TA","PConc","Gd","TA",832,"GasA","Ex",1,"SBrkr",832,1103,1935,0,2,8,2009,"Fin",2,552,"Partial",263435
"462",60,"Pave","Lvl","Gtl","SWISU","Feedr","Norm","2Story",7,9,1936,2007,"Gable","Gd","Gd","PConc","Gd","Gd",560,"GasA","Ex",1,"SBrkr",575,560,1135,0,1,6,1971,"RFn",2,576,"Normal",155000
"463",60,"Pave","Lvl","Gtl","Sawyer","Norm","Norm","1Story",5,5,1965,1965,"Gable","TA","TA","CBlock","TA","TA",864,"GasA","Gd",1,"SBrkr",864,0,864,0,1,5,1965,"Unf",1,360,"Normal",62383
"464",74,"Pave","HLS","Mod","Crawfor","Norm","Norm","2Story",6,7,1934,1995,"Hip","TA","TA","CBlock","TA","TA",715,"GasA","Fa",1,"FuseA",849,811,1660,0,1,6,1939,"Unf",1,240,"Normal",188700
"465",60,"Pave","HLS","Mod","CollgCr","Norm","Norm","1Story",5,5,1978,1978,"Gable","TA","TA","CBlock","Gd","TA",1040,"GasA","TA",1,"SBrkr",1040,0,1040,0,2,5,NA,NA,0,0,"Normal",124000
